Samples,Temperature,TempC
319,72.70,22.61
320,72.71,22.62
321,72.70,22.61
322,72.70,22.61
323,72.70,22.61
324,72.71,22.62
325,72.71,22.62
326,72.71,22.62
327,72.72,22.62
328,72.72,22.62
329,72.74,22.63
330,72.74,22.63
331,72.71,22.62
332,72.72,22.62
333,72.74,22.63
334,72.74,22.63
335,72.72,22.62
336,72.74,22.63
337,72.72,22.62
338,72.74,22.63
339,72.74,22.63
340,72.74,22.63
341,72.72,22.62
342,72.72,22.62
343,72.74,22.63
344,72.75,22.64
345,72.74,22.63
346,72.75,22.64
347,72.75,22.64
348,72.74,22.63
349,72.75,22.64
350,72.75,22.64
351,72.77,22.65
352,72.75,22.64
353,72.77,22.65
354,72.77,22.65
355,72.78,22.66
356,72.78,22.66
357,72.78,22.66
358,72.78,22.66
359,72.78,22.66
360,72.80,22.66
361,72.80,22.66
362,72.78,22.66
363,72.78,22.66
364,72.78,22.66
365,72.78,22.66
366,72.78,22.66
367,72.80,22.66
368,72.78,22.66
369,72.80,22.66
370,72.80,22.66
371,72.80,22.66
372,72.81,22.67
373,72.80,22.66
374,72.81,22.67
375,72.81,22.67
376,72.81,22.67
377,72.81,22.67
378,72.82,22.68
379,72.82,22.68
380,72.81,22.67
381,72.82,22.68
382,72.82,22.68
383,72.82,22.68
384,72.82,22.68
385,72.82,22.68
386,72.82,22.68
387,72.82,22.68
388,72.82,22.68
389,72.82,22.68
390,72.82,22.68
391,72.82,22.68
392,72.81,22.67
393,72.81,22.67
394,72.82,22.68
395,72.82,22.68
396,72.81,22.67
397,72.82,22.68
398,72.81,22.67
399,72.82,22.68
400,72.82,22.68
401,72.84,22.69
402,72.82,22.68
403,72.82,22.68
404,72.82,22.68
405,72.84,22.69
406,72.82,22.68
407,72.82,22.68
408,72.82,22.68
409,72.82,22.68
410,72.82,22.68
411,72.81,22.67
412,72.82,22.68
413,72.82,22.68
414,72.82,22.68
415,72.81,22.67
416,72.82,22.68
417,72.82,22.68
418,72.84,22.69
419,72.84,22.69
420,72.84,22.69
421,72.84,22.69
422,72.84,22.69
423,72.82,22.68
424,72.84,22.69
425,72.84,22.69
426,72.85,22.70
427,72.85,22.70
428,72.84,22.69
429,72.85,22.70
430,72.85,22.70
431,72.84,22.69
432,72.84,22.69
433,72.84,22.69
434,72.84,22.69
435,72.84,22.69
436,72.85,22.70
437,72.85,22.70
438,72.85,22.70
439,72.85,22.70
440,72.87,22.70
441,72.85,22.70
442,72.87,22.70
443,72.85,22.70
444,72.87,22.70
445,72.87,22.70
446,72.87,22.70
447,72.87,22.70
448,72.87,22.70
449,72.87,22.70
450,72.85,22.70
451,72.87,22.70
452,72.87,22.70
453,72.87,22.70
454,72.87,22.70
455,72.87,22.70
456,72.87,22.70
457,72.87,22.70
458,72.88,22.71
459,72.87,22.70
460,72.88,22.71
461,72.88,22.71
462,72.88,22.71
463,72.88,22.71
464,72.89,22.72
465,72.88,22.71
466,72.88,22.71
467,72.89,22.72
468,72.91,22.73
469,72.91,22.73
470,72.89,22.72
471,72.91,22.73
472,72.91,22.73
473,72.92,22.73
474,72.89,22.72
475,72.91,22.73
476,72.91,22.73
477,72.92,22.73
478,72.91,22.73
479,72.92,22.73
480,72.92,22.73
481,72.92,22.73
482,72.92,22.73
483,72.91,22.73
484,72.94,22.74
485,72.94,22.74
486,72.94,22.74
487,72.94,22.74
488,72.95,22.75
489,72.94,22.74
490,72.94,22.74
491,72.94,22.74
492,72.95,22.75
493,72.95,22.75
494,72.95,22.75
495,72.95,22.75
496,72.95,22.75
497,72.96,22.76
498,72.96,22.76
499,72.96,22.76
500,72.96,22.76
501,72.96,22.76
502,72.98,22.77
503,72.98,22.77
504,72.99,22.77
505,72.99,22.77
506,72.98,22.77
507,72.98,22.77
508,72.99,22.77
509,72.99,22.77
510,72.98,22.77
511,72.99,22.77
512,72.99,22.77
513,72.99,22.77
514,72.99,22.77
515,72.99,22.77
516,73.01,22.78
517,72.99,22.77
518,73.01,22.78
519,73.01,22.78
520,73.02,22.79
521,73.02,22.79
522,73.02,22.79
523,73.02,22.79
524,73.02,22.79
525,73.02,22.79
526,73.02,22.79
527,73.02,22.79
528,73.03,22.80
529,73.03,22.80
530,73.03,22.80
531,73.03,22.80
532,73.02,22.79
533,73.03,22.80
534,73.02,22.79
535,73.03,22.80
536,73.03,22.80
537,73.02,22.79
538,73.03,22.80
539,73.03,22.80
540,73.03,22.80
541,73.02,22.79
542,73.03,22.80
543,73.03,22.80
544,73.02,22.79
545,73.02,22.79
546,73.03,22.80
547,73.02,22.79
548,73.02,22.79
549,73.05,22.80
550,73.09,22.83
551,73.12,22.84
552,73.10,22.84
553,73.13,22.85
554,73.15,22.86
555,73.13,22.85
556,73.12,22.84
557,73.10,22.84
558,73.09,22.83
559,73.10,22.84
560,73.10,22.84
561,73.09,22.83
562,73.09,22.83
563,73.10,22.84
564,73.10,22.84
565,73.09,22.83
566,73.08,22.82
567,73.08,22.82
568,73.08,22.82
569,73.09,22.83
570,73.09,22.83
571,73.09,22.83
572,73.08,22.82
573,73.06,22.81
574,73.05,22.80
575,73.05,22.80
576,73.05,22.80
577,73.03,22.80
578,73.05,22.80
579,73.03,22.80
580,73.05,22.80
581,73.03,22.80
582,73.03,22.80
583,73.05,22.80
584,73.05,22.80
585,73.06,22.81
586,73.03,22.80
587,73.05,22.80
588,73.05,22.80
589,73.03,22.80
590,73.05,22.80
591,73.05,22.80
592,73.05,22.80
593,73.05,22.80
594,73.05,22.80
595,73.05,22.80
596,73.05,22.80
597,73.06,22.81
598,73.06,22.81
599,73.06,22.81
600,73.05,22.80
601,73.06,22.81
602,73.06,22.81
603,73.06,22.81
604,73.06,22.81
605,73.06,22.81
606,73.08,22.82
607,73.08,22.82
608,73.08,22.82
609,73.08,22.82
610,73.08,22.82
611,73.08,22.82
612,73.08,22.82
613,73.08,22.82
614,73.08,22.82
615,73.08,22.82
616,73.08,22.82
617,73.08,22.82
618,73.08,22.82
619,73.06,22.81
620,73.06,22.81
621,73.06,22.81
622,73.06,22.81
623,73.05,22.80
624,73.05,22.80
625,73.06,22.81
626,73.05,22.80
627,73.03,22.80
628,73.03,22.80
629,73.03,22.80
630,73.05,22.80
631,73.03,22.80
632,73.03,22.80
633,73.03,22.80
634,73.05,22.80
635,73.03,22.80
636,73.03,22.80
637,73.05,22.80
638,73.03,22.80
639,73.02,22.79
640,73.03,22.80
641,73.03,22.80
642,73.05,22.80
643,73.03,22.80
644,73.05,22.80
645,73.05,22.80
646,73.05,22.80
647,73.05,22.80
648,73.03,22.80
649,73.02,22.79
650,73.02,22.79
651,73.02,22.79
652,73.02,22.79
653,73.02,22.79
654,73.01,22.78
655,73.02,22.79
656,73.02,22.79
657,73.02,22.79
658,73.02,22.79
659,73.02,22.79
660,73.02,22.79
661,73.02,22.79
662,73.03,22.80
663,73.03,22.80
664,73.03,22.80
665,73.03,22.80
666,73.03,22.80
667,73.03,22.80
668,73.05,22.80
669,73.03,22.80
670,73.03,22.80
671,73.03,22.80
672,73.03,22.80
673,73.05,22.80
674,73.05,22.80
675,73.06,22.81
676,73.06,22.81
677,73.05,22.80
678,73.05,22.80
679,73.06,22.81
680,73.05,22.80
681,73.05,22.80
682,73.05,22.80
683,73.03,22.80
684,73.05,22.80
685,73.05,22.80
686,73.05,22.80
687,73.05,22.80
688,73.06,22.81
689,73.05,22.80
690,73.05,22.80
691,73.06,22.81
692,73.05,22.80
693,73.05,22.80
694,73.05,22.80
695,73.06,22.81
696,73.05,22.80
697,73.06,22.81
698,73.06,22.81
699,73.06,22.81
700,73.06,22.81
701,73.06,22.81
702,73.05,22.80
703,73.05,22.80
704,73.06,22.81
705,73.08,22.82
706,73.06,22.81
707,73.08,22.82
708,73.06,22.81
709,73.08,22.82
710,73.08,22.82
711,73.08,22.82
712,73.09,22.83
713,73.09,22.83
714,73.09,22.83
715,73.09,22.83
716,73.09,22.83
717,73.10,22.84
718,73.09,22.83
719,73.09,22.83
720,73.10,22.84
721,73.09,22.83
722,73.10,22.84
723,73.10,22.84
724,73.10,22.84
725,73.10,22.84
726,73.10,22.84
727,73.09,22.83
728,73.10,22.84
729,73.10,22.84
730,73.10,22.84
731,73.10,22.84
732,73.09,22.83
733,73.09,22.83
734,73.10,22.84
735,73.09,22.83
736,73.09,22.83
737,73.08,22.82
738,73.10,22.84
739,73.09,22.83
740,73.09,22.83
741,73.10,22.84
742,73.09,22.83
743,73.09,22.83
744,73.09,22.83
745,73.08,22.82
746,73.08,22.82
747,73.08,22.82
748,73.08,22.82
749,73.06,22.81
750,73.06,22.81
751,73.05,22.80
752,73.06,22.81
753,73.06,22.81
754,73.06,22.81
755,73.05,22.80
756,73.06,22.81
757,73.06,22.81
758,73.06,22.81
759,73.06,22.81
760,73.06,22.81
761,73.05,22.80
762,73.05,22.80
763,73.05,22.80
764,73.05,22.80
765,73.05,22.80
766,73.06,22.81
767,73.06,22.81
768,73.06,22.81
769,73.08,22.82
770,73.08,22.82
771,73.08,22.82
772,73.08,22.82
773,73.08,22.82
774,73.08,22.82
775,73.06,22.81
776,73.08,22.82
777,73.08,22.82
778,73.06,22.81
779,73.06,22.81
780,73.06,22.81
781,73.06,22.81
782,73.06,22.81
783,73.05,22.80
784,73.06,22.81
785,73.08,22.82
786,73.09,22.83
787,73.08,22.82
788,73.09,22.83
789,73.09,22.83
790,73.09,22.83
791,73.10,22.84
792,73.10,22.84
793,73.10,22.84
794,73.10,22.84
795,73.10,22.84
796,73.10,22.84
797,73.10,22.84
798,73.12,22.84
799,73.10,22.84
800,73.10,22.84
801,73.09,22.83
802,73.09,22.83
803,73.09,22.83
804,73.08,22.82
805,73.08,22.82
806,73.08,22.82
807,73.08,22.82
